SCHL,gmajor,fod1p,_TYPE_,_FREQ_,p50adj_wagp,p25adj_wagp,p75adj_wagp,pop,meanadj_wagp,mean_grad_degree,mean_grad_degree_all,mean_employed_all,pct_ts,pct_tsg,p50r,p25r,p75r,pct_ts_all,pct_tsg_all
,Law and public policy,Public policy,3,1411,76094.697235,48836.83556,120149.52195,133665,108026.83563,0.5789099615,0.559316172,0.9475454497,0.0005897569,0.0241442314,76000,49000,120000,0.0005894387,0.0260135041
,Physical sciences,Multidisciplinary or general science,3,20348,64279.751835,40697.362967,101092.74194,2432616,86191.548573,0.336011109,0.3244191671,0.9622637648,0.0107331918,0.3277954158,64000,41000,101000,0.010568417,0.3354822511
,Physical sciences,Physical sciences,3,558,66286.817197,40697.362967,108701.87305,55736,84978.881736,0.4104887326,0.4153233253,0.9614055471,0.0002459185,0.0075104354,66000,41000,109000,0.0002377488,0.0075470639
,Physical sciences,Astronomy and astrophysics,3,409,84301.313881,52906.571857,128559.50367,40475,108431.23662,0.6540086473,0.6239279201,0.9561760317,0.0001785839,0.0054540131,84000,53000,129000,0.0001736966,0.0055137989
,Physical sciences,Atmospheric sciences and meteorology,3,1145,73255.25334,45784.533337,106333.66273,113138,82745.960288,0.4457653485,0.4486415033,0.9715933635,0.0004991876,0.0152453646,73000,46000,106000,0.0004412966,0.014008452
,Physical sciences,Chemistry,3,25661,84301.313881,50580.788329,132573.63439,2525083,114609.14825,0.6449174146,0.6192346484,0.9671411202,0.0111411748,0.3402553597,84000,51000,133000,0.010700169,0.3396645665
,Physical sciences,Geology and earth science,3,7820,73763.649646,47419.489058,111699.24089,737602,94448.851873,0.4624228242,0.4497878787,0.9607951575,0.0032544486,0.0993919938,74000,47000,112000,0.0031137867,0.0988435787
,Physical sciences,Geosciences,3,760,77334.620063,50871.703708,116001.93009,70053,97666.511958,0.5529670392,0.5305614857,0.9656460221,0.0003090879,0.0094396536,77000,51000,116000,0.0003026322,0.0096067116
,Physical sciences,Oceanography,3,837,72089.71317,43480.74922,108537.94162,77216,82933.752574,0.4854045794,0.4474500024,0.9656013918,0.0003406925,0.010404869,72000,43000,109000,0.0003207003,0.010180263
,Physical sciences,Physics,3,12218,93483.610823,55043.998309,132573.63439,1204961,109985.03141,0.6978400131,0.6757221319,0.9663799073,0.0053165306,0.1623686978,93000,55000,133000,0.0049702261,0.1577741149
,Physical sciences,"Nuclear, industrial radiology, and biological technologies",3,1637,80364.237531,52688.321176,111917.74816,164261,93959.485418,0.4919548767,0.4839854337,0.9689616719,0.0007247526,0.0221341974,80000,53000,112000,0.0006734911,0.0213791994
,Psychology and social work,Psychology,3,98948,53683.014196,35610.192596,81140.014611,10123502,68786.619658,0.4847945899,0.4623042118,0.9548305376,0.04466693,0.7877248626,54000,36000,81000,0.0487740634,0.7942706418
,Psychology and social work,Industrial and organizational psychology,3,1075,70656.217482,44035.198647,104583.59679,106260,86942.195633,0.4430453604,0.4350158223,0.9324197046,0.0004688405,0.0082682499,71000,44000,105000,0.0005005033,0.0081505418
,Psychology and social work,Social psychology,3,500,53943.118342,38989.35767,82193.781034,47077,69319.546519,0.4504535123,0.4197594028,0.9160993737,0.0002077132,0.0036631319,54000,39000,82000,0.0002390692,0.0038931688
,Psychology and social work,Human services and community organization,3,4311,42732.231115,30970.969728,60074.760975,441054,51821.816757,0.2919483782,0.276072321,0.9381165998,0.0019460191,0.0343190727,43000,31000,60000,0.0020446257,0.0332961009
,Psychology and social work,Social work,3,20541,46801.967412,34592.758522,64077.256624,2133678,53675.738116,0.487258621,0.4584721702,0.9592040495,0.0094142171,0.1660246829,47000,35000,64000,0.0098490987,0.1603895467
,Social sciences,Interdisciplinary social sciences,3,3369,51415.985953,35110.704995,78342.423711,329016,65628.551869,0.3680003404,0.3496181151,0.9528156595,0.0014516849,0.0192157337,51000,35000,78000,0.0015608105,0.0206396263
,Social sciences,General social sciences,3,5660,55043.998309,36132.798016,82858.521496,562319,68863.132828,0.3490403134,0.3335386471,0.9482440675,0.0024810647,0.0328414792,55000,36000,83000,0.0027139549,0.0358884135
,Social sciences,Economics,3,46665,83429.594082,49553.551565,139173.19626,4788685,120488.0637,0.4175601444,0.4109119947,0.9569895395,0.0211286428,0.2796766587,83000,50000,139000,0.0204467051,0.2703802536
,Social sciences,Anthropology and archeology,3,8683,52906.571857,34469.144942,82565.997463,846644,70912.633752,0.4671349469,0.4431798031,0.9468885658,0.0037355639,0.0494470956,53000,34000,83000,0.0041740751,0.055196546
,Social sciences,Criminology,3,3899,55043.998309,37935.591247,81526.404787,408814,66198.065228,0.2259193668,0.2255084037,0.9576531987,0.0018037697,0.0238762277,55000,38000,82000,0.0016904267,0.0223536265
,Social sciences,Geography,3,6740,61046.04445,41714.797041,89171.27726,649220,73437.213373,0.3027417516,0.2977172507,0.9526889262,0.0028644894,0.0379168144,61000,42000,89000,0.0028263968,0.037375307
,Social sciences,International relations,3,6025,73090.959186,45654.786681,114970.05038,619117,98032.765752,0.5316281091,0.508746277,0.9522062567,0.0027316689,0.0361586895,73000,46000,115000,0.0027905052,0.0369006889
,Social sciences,Political science and government,3,55031,73763.649646,44258.189788,119075.60586,5563166,101194.14519,0.5088622198,0.4875268558,0.9541015529,0.024545809,0.3249091721,74000,44000,119000,0.0237491327,0.3140504303
,Social sciences,Sociology,3,32180,53029.453758,36132.798016,79352.367326,3239340,66974.220825,0.3464857039,0.3347015923,0.9534923,0.0142926206,0.1891892634,53000,36000,79000,0.0151611668,0.2004860979
,Social sciences,Miscellaneous social sciences,3,1214,68084.729105,44191.211465,104954.12723,115898,91093.861251,0.4912768124,0.4646779661,0.9608669771,0.0005113653,0.0067688656,68000,44000,105000,0.0005088614,0.0067290101
Bachelors,,,4,1384953,57448.574904,37645.060744,88382.422929,144532757,72952.963047,0,0,0.955740882,1,1,57000,38000,88000,1,1
Graduate degree,,,4,834675,76091.311135,50062.300812,115914.30659,82111474,100746.98014,1,1,0.9690519048,1,1,76000,50000,116000,1,1
Bachelors,Agriculture and natural resources,,6,28354,52176.899064,32557.890373,79098.435283,2412023,63336.639952,0,0,0.9703231336,0.0166884176,1,52000,33000,79000,0.0151660703,1
Bachelors,Architecture and engineering,,6,130962,82193.781034,55043.998309,112289.75655,13480350,93697.612939,0,0,0.9600413892,0.0932684762,1,82000,55000,112000,0.0825173525,1
Bachelors,Arts,,6,56310,44035.198647,27175.468262,67150.648895,6111772,55044.945258,0,0,0.9402334592,0.042286414,1,44000,27000,67000,0.0482150399,1
Bachelors,Biology and life sciences,,6,44796,54023.756016,35228.158917,81394.725933,4543140,66056.054828,0,0,0.9547728272,0.0314332895,1,54000,35000,81000,0.0336792971,1
Bachelors,Business,,6,383102,61941.939457,40697.362967,96656.237046,40476109,80899.047759,0,0,0.9562690863,0.2800479963,1,62000,41000,97000,0.2607261197,1
Bachelors,Communications and journalism,,6,70094,52842.238376,35508.449188,82565.997463,7466162,68470.608194,0,0,0.9474417153,0.0516572309,1,53000,36000,83000,0.052386881,1
Bachelors,"Computers, statistics, and mathematics",,6,84295,76094.697235,49539.598478,108134.56975,8949692,86863.544769,0,0,0.9562872652,0.0619215477,1,76000,50000,108000,0.0568903884,1
Bachelors,Education,,6,112280,43749.665189,32557.890373,57448.574904,11129791,49466.244056,0,0,0.9649827334,0.0770053186,1,44000,33000,57000,0.0905311018,1
Bachelors,Health,,6,102654,63225.985411,45056.070731,84301.313881,10770182,69429.979498,0,0,0.9746326162,0.074517239,1,63000,45000,84000,0.0758221533,1
Bachelors,Humanities and liberal arts,,6,107647,48915.842872,31612.992706,76091.311135,11177939,63830.955608,0,0,0.9453133275,0.0773384472,1,49000,32000,76000,0.0860352113,1
Bachelors,"Industrial arts, consumer services, and recreation",,6,36777,49715.112898,32666.759129,75093.451218,3829782,61528.398679,0,0,0.9606180663,0.0264976748,1,50000,33000,75000,0.0272685999,1
Bachelors,Law and public policy,,6,38721,54067.284877,36881.824823,79032.481764,4160689,63597.655817,0,0,0.9546598878,0.0287871697,1,54000,37000,79000,0.0263966493,1
Bachelors,Physical sciences,,6,31981,61046.04445,39048.594634,93574.797125,3536521,75605.623122,0,0,0.9554680374,0.0244686469,1,61000,39000,94000,0.0241686158,1
Bachelors,Psychology and social work,,6,63530,44191.211465,31038.626504,66286.817197,6707050,56060.960785,0,0,0.9437932494,0.0464050513,1,44000,31000,66000,0.0516627041,1
Bachelors,Social sciences,,6,93450,56903.38687,36881.824823,91569.066675,9781555,79044.02814,0,0,0.949029891,0.0676770803,1,57000,37000,92000,0.0685338157,1
Graduate degree,Agriculture and natural resources,,6,10537,71088.467153,45784.533337,105130.83171,943640,87542.729331,1,1,0.9771523143,0.011492182,1,71000,46000,105000,0.0108403195,1
Graduate degree,Architecture and engineering,,6,87212,103236.56576,71557.197801,143114.3956,8684597,122623.25041,1,1,0.9688609052,0.1057659372,1,103000,72000,143000,0.0955132367,1
Graduate degree,Arts,,6,18519,55958.874079,36044.856585,82412.160007,1806146,68696.908215,1,1,0.9518048758,0.0219962681,1,56000,36000,82000,0.0267278373,1
Graduate degree,Biology and life sciences,,6,73720,86961.49844,52688.321176,153190.64049,7155264,128358.74464,1,1,0.9782330674,0.0871408544,1,87000,53000,153000,0.0840277446,1
Graduate degree,Business,,6,119667,83666.877429,53392.678359,127179.25927,12275468,109776.86693,1,1,0.9616180366,0.1494975964,1,84000,53000,127000,0.1402946385,1
Graduate degree,Communications and journalism,,6,20672,66052.79797,44258.189788,99079.196955,2047191,83770.462918,1,1,0.9599754017,0.0249318506,1,66000,44000,99000,0.0256898568,1
Graduate degree,"Computers, statistics, and mathematics",,6,43962,94838.978117,65080.991056,130442.24766,4526521,110990.63633,1,1,0.9681482517,0.0551265344,1,95000,65000,130000,0.0530209573,1
Graduate degree,Education,,6,106382,59658.135477,45848.381895,77061.597632,10086303,65449.889705,1,1,0.980088336,0.1228367061,1,60000,46000,77000,0.1353938385,1
Graduate degree,Health,,6,59248,81465.117497,55239.014331,113560.22234,5900884,99223.746261,1,1,0.9801182121,0.0718643049,1,81000,55000,114000,0.0712553521,1
Graduate degree,Humanities and liberal arts,,6,91072,66133.214821,44191.211465,103236.56576,8628209,92006.517664,1,1,0.9635424745,0.1050792122,1,66000,44000,103000,0.1119222372,1
Graduate degree,"Industrial arts, consumer services, and recreation",,6,13393,63225.985411,44191.211465,90112.141462,1312030,77144.601857,1,1,0.9727225209,0.0159786439,1,63000,44000,90000,0.0165689918,1
Graduate degree,Law and public policy,,6,13018,70456.317835,45424.088935,103236.56576,1375416,86439.340751,1,1,0.9619700522,0.0167505944,1,70000,45000,103000,0.0157878805,1
Graduate degree,Physical sciences,,6,39412,95011.104649,57245.758241,145660.50989,3884620,123833.83372,1,1,0.9734187087,0.0473091008,1,95000,57000,146000,0.0449835519,1
Graduate degree,Psychology and social work,,6,61845,60074.760975,42150.656941,86969.517328,6144521,76530.393462,1,1,0.9667559074,0.0748314541,1,60000,42000,87000,0.0793211274,1
Graduate degree,Social sciences,,6,76016,82858.521496,51633.389699,133206.47591,7340664,115801.86401,1,1,0.961088831,0.0893987605,1,83000,52000,133000,0.0886524299,1
Bachelors,Agriculture and natural resources,General agriculture,7,4610,47559.185772,27175.468262,75093.451218,419668,58108.087417,0,0,0.9727351718,0.0029036186,0.173990049,48000,27000,75000,0.0026636166,0.1756299787
Bachelors,Agriculture and natural resources,Agricultural economics,7,1904,61941.939457,32067.05255,99430.225796,147407,79326.484737,0,0,0.9776637078,0.0010198864,0.0611134305,62000,32000,99000,0.0008538838,0.0563022455
Bachelors,Agriculture and natural resources,Animal sciences,7,4883,45654.786681,27521.999154,71220.385192,399099,55238.563214,0,0,0.9715374707,0.0027613048,0.1654623526,46000,28000,71000,0.0025841151,0.1703879123
Bachelors,Agriculture and natural resources,Food science,7,915,65221.12383,40262.260647,100124.60162,88238,80750.642419,0,0,0.9536740331,0.0006105052,0.0365825699,65000,40000,100000,0.0006336929,0.0417835925
Bachelors,Agriculture and natural resources,Plant science and agronomy,7,3654,49553.551565,30523.022225,76094.697235,315006,59764.006263,0,0,0.9725728037,0.0021794782,0.1305982571,50000,31000,76000,0.0019848948,0.1308773293
Bachelors,Agriculture and natural resources,Soil science,7,269,66286.817197,41981.650891,88382.422929,21791,72420.692543,0,0,0.9499511168,0.0001507686,0.0090343251,66000,42000,88000,0.000138457,0.0091293949
Bachelors,Agriculture and natural resources,Miscellaneous agriculture,7,5538,53263.917794,33026.398985,80099.6813,448061,64898.41799,0,0,0.9793997741,0.0031000654,0.1857614956,53000,33000,80000,0.0026483778,0.1746251801
Bachelors,Agriculture and natural resources,Forestry,7,2739,60064.686141,41981.650891,83103.419348,232945,69556.366875,0,0,0.9684129113,0.0016117108,0.0965766081,60000,42000,83000,0.0014182731,0.0935161916
Bachelors,Agriculture and natural resources,Natural resources management,7,3842,53263.917794,37046.102601,76307.555562,339808,64253.107643,0,0,0.9570437969,0.0023510795,0.140880912,53000,37000,76000,0.0022407592,0.1477481752
Bachelors,Architecture and engineering,Architecture,7,10729,63047.086369,39772.090318,90591.983503,1088167,73835.360623,0,0,0.9372395708,0.0075288607,0.080722459,63000,40000,91000,0.0075342946,0.0913055779
Bachelors,Architecture and engineering,General engineering,7,16794,78265.348596,50580.788329,109135.81577,2147250,88857.823338,0,0,0.9610267626,0.0148564937,0.1592874072,78000,51000,109000,0.0132342911,0.1603819164
Bachelors,Architecture and engineering,Aerospace engineering,7,2504,88516.764452,63225.985411,120149.52195,253132,98878.173267,0,0,0.9676631983,0.0017513815,0.0187778507,89000,63000,120000,0.001501329,0.0181940999
Bachelors,Architecture and engineering,Architectural engineering,7,677,77334.620063,54350.936525,106333.66273,68482,88329.090719,0,0,0.9505096053,0.0004738165,0.0050801352,77000,54000,106000,0.00042769,0.0051830316
Bachelors,Architecture and engineering,Biomedical engineering,7,1934,68254.557903,40697.362967,97831.685745,184762,80582.042351,0,0,0.9531214906,0.00127834,0.013706024,68000,41000,98000,0.0012277416,0.0148785864
Bachelors,Architecture and engineering,Chemical engineering,7,7052,93603.934823,63225.985411,129903.83601,692802,108643.95173,0,0,0.9674166929,0.0047933909,0.0513934727,94000,63000,130000,0.0043011073,0.052123671
Bachelors,Architecture and engineering,Civil engineering,7,14672,81526.404787,57611.992716,110087.99662,1398608,93297.792595,0,0,0.9614252708,0.0096767545,0.1037516088,82000,58000,110000,0.0083251069,0.1008891661
Bachelors,Architecture and engineering,Electrical engineering,7,27131,92912.909185,65080.991056,123883.87891,2743697,102734.02278,0,0,0.960203666,0.0189832191,0.2035330685,93000,65000,124000,0.0166438461,0.2017011644
Bachelors,Architecture and engineering,"Engineering mechanics, physics, and science",7,678,74020.279203,42150.656941,108987.11665,70502,85134.920495,0,0,0.9652594653,0.0004877925,0.0052299829,74000,42000,109000,0.0004381931,0.0053103144
Bachelors,Architecture and engineering,Environmental engineering,7,608,75004.292404,55043.998309,99430.225796,56650,83558.282517,0,0,0.9669053207,0.0003919527,0.0042024131,75000,55000,99000,0.0003793102,0.0045967328
Bachelors,Architecture and engineering,Geological and geophysical engineering,7,210,91677.678846,63080.912598,122092.0889,20119,113060.67912,0,0,0.9892866146,0.0001392003,0.0014924687,92000,63000,122000,0.0001303558,0.0015797381
Bachelors,Architecture and engineering,Industrial and manufacturing engineering,7,5564,81140.014611,54350.936525,110137.06179,544929,94871.499586,0,0,0.9578472372,0.0037702803,0.0404239504,81000,54000,110000,0.0033790676,0.0409497818
Bachelors,Architecture and engineering,Mechanical engineering,7,23090,86961.49844,62077.253007,117398.02289,2281003,99277.631307,0,0,0.9687205388,0.0157819103,0.169209479,87000,62000,117000,0.0132850679,0.1609972631
Bachelors,Architecture and engineering,Metallurgical engineering,7,361,97831.685745,67153.677936,130442.24766,30999,111644.86021,0,0,0.9758783287,0.0002144773,0.0022995694,98000,67000,130000,0.0001955047,0.0023692551
Bachelors,Architecture and engineering,Mining and mineral engineering,7,459,97831.685745,60064.686141,141312.43496,41426,111781.54036,0,0,0.965685639,0.0002866201,0.0030730656,98000,60000,141000,0.0002420492,0.0029333132
Bachelors,Architecture and engineering,Petroleum engineering,7,740,134882.10221,87751.080897,250014.30801,73220,183474.48796,0,0,0.9677945713,0.000506598,0.0054316097,135000,88000,250000,0.0004442363,0.0053835504
Bachelors,Architecture and engineering,Miscellaneous engineering,7,2584,75093.451218,48938.578967,103266.7794,257940,86996.686166,0,0,0.9605576128,0.0017846473,0.019134518,75000,49000,103000,0.0015747485,0.0190838469
Bachelors,Architecture and engineering,Engineering technologies,7,1636,66286.817197,44035.198647,100107.81023,177179,78139.792232,0,0,0.9616988984,0.0012258744,0.0131435015,66000,44000,100000,0.0010788929,0.013074739
Bachelors,Architecture and engineering,Engineering and industrial management,7,1320,76924.948917,50871.703708,113560.22234,121795,95261.960662,0,0,0.9576439864,0.0008426809,0.0090350028,77000,51000,114000,0.0007536764,0.0091335506
Bachelors,Architecture and engineering,Industrial production technologies,7,3632,73763.649646,50002.861603,101743.40742,348441,82943.473752,0,0,0.9584186998,0.0024108099,0.0258480677,74000,50000,102000,0.0020581739,0.0249423164
Bachelors,Architecture and engineering,Mechanical engineering related technologies,7,1443,68494.817529,47337.838545,93574.797125,139248,76229.107975,0,0,0.9589090773,0.0009634356,0.0103297021,68000,47000,94000,0.0008231059,0.0099749431
Bachelors,Architecture and engineering,Miscellaneous engineering technologies,7,7144,71557.197801,47419.489058,100005.72321,739999,78714.20727,0,0,0.957233119,0.0051199397,0.0548946429,72000,47000,100000,0.0045395636,0.0550134416
Bachelors,Arts,Fine arts,7,16735,43480.74922,25809.14144,68254.557903,1828483,54654.620533,0,0,0.9379685269,0.0126509937,0.2991739548,43000,26000,68000,0.01473255,0.3055592213
Bachelors,Arts,Drama and theater arts,7,5563,40876.870605,26344.160588,63080.912598,596636,52576.043554,0,0,0.932738482,0.0041280331,0.0976207882,41000,26000,63000,0.0048089139,0.0997388764
Bachelors,Arts,Music,7,7546,43359.35762,25809.14144,66052.79797,823437,52639.520594,0,0,0.9582637586,0.0056972344,0.134729666,43000,26000,66000,0.0066790404,0.1385260777
Bachelors,Arts,Visual and performing arts,7,1704,38848.34543,24131.251099,60074.760975,179206,49711.62055,0,0,0.9339822847,0.0012398989,0.0293214472,39000,24000,60000,0.001552406,0.032197546
Bachelors,Arts,Commercial art and graphic design,7,17675,46741.805411,30824.639053,71220.385192,1929247,57693.785577,0,0,0.9413052379,0.0133481644,0.3156608264,47000,31000,71000,0.0145331764,0.301424128
Bachelors,Arts,"Film, video, and photographic arts",7,4466,44391.723277,26032.396422,70200.864718,506451,59125.895541,0,0,0.9291149351,0.0035040569,0.0828648385,44000,26000,70000,0.0038398889,0.0796408948
Bachelors,Arts,Studio arts,7,2621,37935.591247,23400.983706,57957.153294,248312,46773.692255,0,0,0.9351110619,0.0017180327,0.0406284789,38000,23000,58000,0.0020690643,0.0429132557
Bachelors,Biology and life sciences,Environmental science,7,4787,54795.854023,36627.62667,80099.6813,467865,64094.805632,0,0,0.953592234,0.0032370862,0.1029827388,55000,37000,80000,0.0032325965,0.095981708
Bachelors,Biology and life sciences,Biology,7,27312,53924.005931,35301.175188,81526.404787,2786546,66522.346411,0,0,0.9534088118,0.0192796848,0.6133524391,54000,35000,82000,0.0207283846,0.6154636933
Bachelors,Biology and life sciences,Biochemical sciences,7,2309,56524.973986,35610.192596,86961.49844,247393,71188.156881,0,0,0.9521653094,0.0017116743,0.0544541881,57000,36000,87000,0.0018914424,0.0561603895
Bachelors,Biology and life sciences,Botany,7,391,48589.737253,30037.380487,73763.649646,38030,57737.705754,0,0,0.9755509088,0.0002631237,0.0083708624,49000,30000,74000,0.0003040457,0.0090276742
Bachelors,Biology and life sciences,Molecular biology,7,894,53392.678359,33143.408599,81394.725933,90461,67790.68087,0,0,0.9625194598,0.0006258858,0.019911559,53000,33000,81000,0.0007115626,0.0211275959
Bachelors,Biology and life sciences,Ecology,7,1837,48438.718512,31925.519019,71656.116799,174356,57740.930305,0,0,0.9615275083,0.0012063424,0.038377862,48000,32000,72000,0.0012381574,0.0367631613
Bachelors,Biology and life sciences,Microbiology,7,2202,59658.135477,39132.674298,88070.397294,223874,71104.73986,0,0,0.9575995646,0.0015489499,0.049277372,60000,39000,88000,0.0016837932,0.0499949031
Bachelors,Biology and life sciences,Zoology,7,1666,53683.014196,33720.525553,82565.997463,164044,64936.555518,0,0,0.9581810414,0.0011349953,0.0361080662,54000,34000,83000,0.0012124785,0.0360007068
Bachelors,Biology and life sciences,Neuroscience,7,286,44224.700626,30037.380487,74330.327348,31428,60032.563581,0,0,0.9437427194,0.0002174455,0.0069176825,44000,30000,74000,0.0002815869,0.0083608321
Bachelors,Biology and life sciences,Miscellaneous biology,7,3112,52906.571857,34068.066701,77334.620063,319143,63550.963255,0,0,0.9592978886,0.0022081015,0.0702472299,53000,34000,77000,0.0023952492,0.0711193358
Bachelors,Business,General business,7,72368,61941.939457,39229.894989,98074.737473,8493556,81295.914939,0,0,0.9586981838,0.0587656126,0.2098412177,62000,39000,98000,0.0547766583,0.2100927149
Bachelors,Business,Accounting,7,68530,66052.79797,42273.790701,100124.60162,7068773,85779.988536,0,0,0.9583340861,0.0489077573,0.1746406257,66000,42000,100000,0.0456177876,0.1749643942
Bachelors,Business,Actuarial science,7,469,88070.397294,58699.011447,132105.59594,48597,114548.65789,0,0,0.9710463556,0.0003362352,0.0012006342,88000,59000,132000,0.0002914944,0.0011180099
Bachelors,Business,Business management and administration,7,125046,60074.760975,39772.090318,90551.632601,12537715,75712.839856,0,0,0.9529570553,0.086746529,0.3097559353,60000,40000,91000,0.0803283095,0.3080945999
Bachelors,Business,Operations logistics and e-commerce,7,2719,68494.817529,48438.718512,96946.510964,283750,79636.985888,0,0,0.964466637,0.0019632228,0.0070103082,68000,48000,97000,0.0016817255,0.0064501613
Bachelors,Business,Business economics,7,3083,71810.71863,46236.958579,110478.02866,296362,98486.051782,0,0,0.9531130534,0.0020504833,0.0073218994,72000,46000,110000,0.0018542775,0.0071119744
Bachelors,Business,Marketing and marketing research,7,44018,60074.760975,39993.046376,93906.324362,4708319,78958.969872,0,0,0.9552963271,0.0325761377,0.1163234094,60000,40000,94000,0.0313225009,0.1201356462
Bachelors,Business,Finance,7,35544,71220.385192,45654.786681,108701.87305,3775535,95722.430615,0,0,0.9604458311,0.0261223482,0.0932781113,71000,46000,109000,0.0234305801,0.0898666391
Bachelors,Business,Human resources and personnel management,7,7417,55849.620446,38667.310032,81753.74121,772928,68635.107429,0,0,0.9496604145,0.0053477704,0.0190959067,56000,39000,82000,0.0051009313,0.0195643277
Bachelors,Business,International business,7,3408,56524.973986,38530.798816,86172.862356,375074,72575.950651,0,0,0.9441074597,0.0025950795,0.0092665528,57000,39000,86000,0.0026451963,0.010145498
Bachelors,Business,Hospitality management,7,7971,49715.112898,33026.398985,75093.451218,862853,63232.295076,0,0,0.9546895296,0.0059699477,0.0213175876,50000,33000,75000,0.0059117037,0.0226739987
Bachelors,Business,Management information systems and statistics,7,8430,77427.424321,52650.648538,106058.90752,836764,87653.626598,0,0,0.9651104052,0.0057894419,0.0206730346,77000,53000,106000,0.0049824053,0.0191097282
Bachelors,Business,Miscellaneous business and medical administration,7,4099,55239.014331,35100.432359,86718.715239,415883,71333.58824,0,0,0.9519318624,0.0028774308,0.0102747772,55000,35000,87000,0.0027825493,0.0106723075
Bachelors,Communications and journalism,Communications and mass media,7,47438,52688.321176,35228.158917,81753.74121,5114109,68087.536401,0,0,0.9463390075,0.0353837366,0.6849716092,53000,35000,82000,0.0358669939,0.6846560301
Bachelors,Communications and journalism,Journalism,7,15265,54350.936525,35610.192596,84301.313881,1576579,69734.468325,0,0,0.9499682967,0.0109081085,0.2111632456,54000,36000,84000,0.0111102469,0.2120807091
Bachelors,Communications and journalism,Advertising and public relations,7,7391,52906.571857,36460.318254,81394.725933,775474,68427.403094,0,0,0.9496573851,0.0053653858,0.1038651452,53000,36000,81000,0.0054096402,0.1032632608
Bachelors,"Computers, statistics, and mathematics",Computer and information systems,7,13010,68494.817529,47058.562764,96946.510964,1402053,76177.883291,0,0,0.9541807072,0.0097005899,0.1566593577,68000,47000,97000,0.0086042291,0.1512422276
Bachelors,"Computers, statistics, and mathematics",Computer science,7,36688,82589.252609,54350.936525,113560.22234,3983330,92322.764249,0,0,0.9588966286,0.0275600499,0.4450801212,83000,54000,114000,0.0247577543,0.4351834285
Bachelors,"Computers, statistics, and mathematics",Information sciences,7,4027,73763.649646,50062.300812,101743.40742,417861,81898.00448,0,0,0.9595597087,0.0028911162,0.0466899866,74000,50000,102000,0.0025174893,0.0442515749
Bachelors,"Computers, statistics, and mathematics",Computer engineering,7,7767,87108.403413,61867.696051,115914.30659,821404,96889.106006,0,0,0.9575916181,0.0056831684,0.0917801417,87000,62000,116000,0.0051104803,0.0898302945
Bachelors,"Computers, statistics, and mathematics",Miscellaneous computer,7,8241,56780.111169,38045.655567,84447.028156,871565,67784.751099,0,0,0.9415603514,0.0060302247,0.0973849156,57000,38000,84000,0.0057031005,0.1002471713
Bachelors,"Computers, statistics, and mathematics",Mathematics,7,12905,70087.221137,43480.74922,108398.39405,1290032,88814.193707,0,0,0.9598244501,0.0089255337,0.1441426141,70000,43000,108000,0.0090650165,0.1593417935
Bachelors,"Computers, statistics, and mathematics",Applied mathematics,7,795,82412.160007,50069.734394,115592.39645,75302,95577.333085,0,0,0.9422395657,0.000521003,0.0084139208,82000,50000,116000,0.0005166777,0.0090819865
Bachelors,"Computers, statistics, and mathematics",Statistics and decision science,7,862,74020.279203,44191.211465,110137.06179,88145,92895.697471,0,0,0.9556478977,0.0006098617,0.0098489423,74000,44000,110000,0.0006156407,0.0108215231
Bachelors,Education,General education,7,30147,44035.198647,31928.150283,59447.518173,3630384,50329.315641,0,0,0.9641661857,0.0251180706,0.3261861791,44000,32000,59000,0.0284742604,0.3145246198
Bachelors,Education,Elementary education,7,33831,41981.650891,32038.628312,52906.571857,2996206,45308.576985,0,0,0.9671387637,0.0207302902,0.2692059536,42000,32000,53000,0.026577593,0.2935741698
Bachelors,Education,Mathematics teacher education,7,1880,46496.737189,36132.798016,61941.939457,170106,54244.119121,0,0,0.9727241732,0.0011769373,0.015283845,46000,36000,62000,0.001340723,0.0148095298
Bachelors,Education,Physical and health education teaching,7,8518,48915.842872,33143.408599,67083.483088,815028,57188.468729,0,0,0.9653242705,0.0056390539,0.0732294075,49000,33000,67000,0.0059343078,0.0655499341
Bachelors,Education,Early childhood education,7,4844,37645.060744,27175.468262,48915.842872,484113,40792.573998,0,0,0.9575799534,0.0033495037,0.0434970432,38000,27000,49000,0.0042431203,0.0468691999
Bachelors,Education,Science and computer teacher education,7,1629,47058.562764,35228.158917,63080.912598,144881,53654.178443,0,0,0.9632681615,0.0010024094,0.0130174053,47000,35000,63000,0.0011060293,0.0122171199
Bachelors,Education,Secondary teacher education,7,5337,46801.967412,35610.192596,63080.912598,484424,54067.789853,0,0,0.9657230291,0.0033516554,0.0435249862,47000,36000,63000,0.0036124539,0.039902904
Bachelors,Education,Special needs education,7,4643,44191.211465,34774.291976,56069.77691,437680,48231.666251,0,0,0.9619214878,0.0030282409,0.0393250871,44000,35000,56000,0.0037181718,0.0410706572
Bachelors,Education,Social science or history teacher education,7,3168,44767.099263,33026.398985,60873.048908,290884,53097.96556,0,0,0.9651516696,0.0020125818,0.0261356211,45000,33000,61000,0.0022181745,0.0245017954
Bachelors,Education,Teacher education: multiple levels,7,2496,41294.626305,31612.992706,53360.887844,227463,45890.324142,0,0,0.9717391442,0.0015737816,0.020437311,41000,32000,53000,0.001786998,0.0197390506
